id,name,lat,long,police,road,district,description
1,ตลาดโบ๊เบ๊ (ถนนอนันตนาค),13.751346,100.516928,พลับพลาไชย 1,กรุงเกษม,ป้อมปราบศัตรูพ่าย,
2,ตลาดโบ๊เบ๊ (อาคารโบ๊เบ๊ทาวเวอร์),13.75426703,100.5171275,นางเลิ้ง,กรุงเกษม,ป้อมปราบศัตรูพ่าย,
3,แยกภุชงค์ (ตลาดโบ๊เบ๊),13.7520204,100.5170921,พลับพลาไชย 1,กรุงเกษม,ป้อมปราบศัตรูพ่าย,
4,(ยกเลิก) ซอยไพศาลศิลป์,13.75048012,100.5168864,พลับพลาไชย 1,กรุงเกษม,ป้อมปราบศัตรูพ่าย,9/2534 เสนอเพิ่ม
5,ตรงข้ามโรงพยาบาลหัวเฉียว,13.749957,100.51688,พลับพลาไชย 1,กรุงเกษม,ป้อมปราบศัตรูพ่าย,
6,ตรงข้ามโรงเรียนเทพศิรินทร์,13.747189,100.516431,พลับพลาไชย 1,กรุงเกษม,ป้อมปราบศัตรูพ่าย,ป้ายไม่ตรงตามมติครั้งที่ 1/2559 ให้ย้ายไปอยู่ก่อนสะพานลอย 24 เมตร
7,ตรงข้ามตลาดนางเลิ้ง,13.759628,100.513294,นางเลิ้ง,กรุงเกษม,ป้อมปราบศัตรูพ่าย,
8,วัดมกุฏกษัตริยาราม,13.76522876,100.5074787,นางเลิ้ง,กรุงเกษม,พระนคร,
9,วัดโสมนัสราชวรวิหาร,13.76179297,100.5108062,นางเลิ้ง,กรุงเกษม,ป้อมปราบศัตรูพ่าย,
10,ตรงข้ามวัดโสมนัสวรวิหาร,13.761673,100.511177,นางเลิ้ง,กรุงเกษม,ป้อมปราบศัตรูพ่าย,
11,โรงแรมเดอม็อค (โรงข้ามวัดตรีทศเทพ),13.760921,100.503465,นางเลิ้ง,ประชาธิปไตย,พระนคร,22-Mar-20
12,โรงเรียนสตรีวรนาถเทเวศร์,13.768749,100.504396,ชนะสงคราม,กรุงเกษม,พระนคร,
13,ท่าปล่อยรถสาย 53 (เทเวศร์),13.7685918,100.5046796,ชนะสงคราม,กรุงเกษม,พระนคร,
14,แยกประชาเกษม,13.7671708,100.5057286,ชนะสงคราม,กรุงเกษม,พระนคร,
15,โรงเรียนลำสาลี ราษฎร์บำรุง,13.749559,100.64983,หัวหมาก,กรุงเทพกรีฑา,บางกะปิ,
16,ตรงข้ามโรงเรียนลำสาลี ราษฎร์บำรุง,13.749469,100.649331,ประเวศ,กรุงเทพกรีฑา,บางกะปิ,
17,สนามกอล์ฟยูนิโก้,13.74582159,100.6667846,ประเวศ,กรุงเทพกรีฑา,สะพานสูง,
18,ตรงข้ามหมู่บ้านกฤษณา,13.74519056,100.6695925,ประเวศ,กรุงเทพกรีฑา,สะพานสูง,
19,โรงเรียนยุคลธร (ซอยกรุงเทพกรีฑา18),13.74233435,100.6764798,ประเวศ,กรุงเทพกรีฑา,สะพานสูง,
20,ซอยกรุงเทพกรีฑา 37 (ซอย บี 5),13.74153948,100.6826193,ประเวศ,กรุงเทพกรีฑา,สะพานสูง,
21,ตรงข้ามหมู่บ้านอยู่สบาย,13.740507,100.685588,ประเวศ,กรุงเทพกรีฑา,สะพานสูง,
22,ตรงข้ามชุมชนซาอาดะห์ (ตรงข้ามซอยกรุงเทพกรีฑา 26) (ป้ายหาย),13.739691,100.690388,ประเวศ,กรุงเทพกรีฑา,สะพานสูง,
