trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
"4","06:00:00","06:00:00","10174157","1","0"
"4","06:00:00","06:00:00","10174189","2","0"
"4","06:00:00","06:00:00","10174172","3","0"
"4","06:00:00","06:00:00","10174377","4","0"
"4","06:00:00","06:00:00","10174380","5","0"
"4","06:00:00","06:00:00","10173384","6","0"
"4","06:00:00","06:00:00","10170508","7","0"
"4","06:00:00","06:00:00","10170515","8","0"
"4","06:00:00","06:00:00","10170527","9","0"
"4","06:00:00","06:00:00","10170545","10","0"
"4","06:00:00","06:00:00","10170541","11","0"
"4","06:00:00","06:00:00","10170544","12","0"
"4","06:00:00","06:00:00","10170558","13","0"
"4","06:00:00","06:00:00","10171709","14","0"
"4","06:00:00","06:00:00","10173461","15","0"
"4","06:00:00","06:00:00","10174385","16","0"
"4","06:00:00","06:00:00","10174457","17","0"
"4","06:00:00","06:00:00","10173459","18","0"
"4","06:00:00","06:00:00","10171547","19","0"
"4","06:00:00","06:00:00","10174264","20","0"
"4","06:00:00","06:00:00","10172051","21","0"
"4","06:00:00","06:00:00","10174373","22","0"
"4","06:00:00","06:00:00","10174436","23","0"
"4","06:00:00","06:00:00","10171291","24","0"
"4","06:00:00","06:00:00","10174421","25","0"
"4","06:00:00","06:00:00","10174393","26","0"
"5","06:00:00","06:00:00","10173846","14","0"
"5","06:00:00","06:00:00","10170753","15","0"
"5","06:00:00","06:00:00","10170804","16","0"
"5","06:00:00","06:00:00","10170756","17","0"
"5","06:00:00","06:00:00","10170812","18","0"
"5","06:00:00","06:00:00","10170878","19","0"
"5","06:00:00","06:00:00","10173503","20","0"
"5","06:00:00","06:00:00","10170881","21","0"
"5","06:00:00","06:00:00","10174293","22","0"
"5","06:00:00","06:00:00","10170882","23","0"
"5","06:00:00","06:00:00","10170886","24","0"
"5","06:00:00","06:00:00","10170890","25","0"
"5","06:00:00","06:00:00","10173547","26","0"
"5","06:00:00","06:00:00","10172921","27","0"
"5","06:00:00","06:00:00","10174157","28","0"
"5","06:00:00","06:00:00","10174393","1","0"
"5","06:00:00","06:00:00","10174438","2","0"
"5","06:00:00","06:00:00","10174468","3","0"
"5","06:00:00","06:00:00","10174239","4","0"
"5","06:00:00","06:00:00","10171974","5","0"
"5","06:00:00","06:00:00","10174496","6","0"
"5","06:00:00","06:00:00","10174381","7","0"
"5","06:00:00","06:00:00","10174388","8","0"
"5","06:00:00","06:00:00","10173847","9","0"
"5","06:00:00","06:00:00","10173870","10","0"
"5","06:00:00","06:00:00","10172648","11","0"
"5","06:00:00","06:00:00","10170775","12","0"
"5","06:00:00","06:00:00","10170582","13","0"
"77","06:00:00","06:00:00","10174178","23","0"
"77","06:00:00","06:00:00","10172748","3","0"
"77","06:00:00","06:00:00","10171551","1","0"
"77","06:00:00","06:00:00","10170293","4","0"
"77","06:00:00","06:00:00","10172581","34","0"
"77","06:00:00","06:00:00","10173115","12","0"
"77","06:00:00","06:00:00","10173278","24","0"
"77","06:00:00","06:00:00","10174064","10","0"
"77","06:00:00","06:00:00","10170583","22","0"
"77","06:00:00","06:00:00","10170909","14","0"
"77","06:00:00","06:00:00","10170934","20","0"
"77","06:00:00","06:00:00","10171046","18","0"
"77","06:00:00","06:00:00","10174106","16","0"
"77","06:00:00","06:00:00","10171410","32","0"
"77","06:00:00","06:00:00","10170988","28","0"
"77","06:00:00","06:00:00","10170724","30","0"
"77","06:00:00","06:00:00","10170972","26","0"
"77","06:00:00","06:00:00","10170709","36","0"
"77","06:00:00","06:00:00","10174199","25","0"
"77","06:00:00","06:00:00","10170806","50","0"
"77","06:00:00","06:00:00","10170993","27","0"
"77","06:00:00","06:00:00","10174259","29","0"
"77","06:00:00","06:00:00","10170941","21","0"
"77","06:00:00","06:00:00","10174068","11","0"
