route_id,route_short_name,route_long_name,route_type
"4","1","รถประจำทาง ขสมก. สาย 1 (ถนนตก - ท่าเตียน)","3"
"5","1","รถประจำทาง ขสมก. สาย 1 (ท่าเตียน - ถนนตก)","3"
"77","101","รถประจำทาง ขสมก. สาย 101 (พุทธมณฑลสาย2 - วัดยายร่ม)","3"
"82","101","รถประจำทาง ขสมก. สาย 101 (วัดยายร่ม - พุทธมณฑลสาย2)","3"
"106","102","รถประจำทาง ขสมก. สาย 102 (ปากน้ำ - เซ็นทรัล พระราม3)","3"
"108","102","รถประจำทาง ขสมก. สาย 102 (เซ็นทรัล พระราม3 - ปากน้ำ)","3"
"112","104","รถประจำทาง ขสมก. สาย 104 (ปากเกร็ด - หมดชิต 2)","3"
"114","104","รถประจำทาง ขสมก. สาย 104 (หมดชิต 2 - ปากเกร็ด)","3"
"118","105","รถประจำทาง ขสมก. สาย 105 (มหาชัยเมืองใหม่ - คลองสาน)","3"
"120","105","รถประจำทาง ขสมก. สาย 105 (คลองสาน - มหาชัยเมืองใหม่)","3"
"122","107","รถประจำทาง ขสมก. สาย 107 (อู่บางเขน - อู่คลองเตย)","3"
"124","107","รถประจำทาง ขสมก. สาย 107 (อู่คลองเตย - อู่บางเขน)","3"
"125","108","รถประจำทาง ขสมก. สาย 108 (ท่าพระ - รัชโยธิน)","3"
"128","108","รถประจำทาง ขสมก. สาย 108 (รัชโยธิน - ท่าพระ)","3"
"130","109","รถประจำทาง ขสมก. สาย 109 (คลองทุ่ม - หัวลำโพง)","3"
"132","109","รถประจำทาง ขสมก. สาย 109 (หัวลำโพง - คลองทุ่ม)","3"
"7","11","รถประจำทาง ขสมก. สาย 11 (เขตประเวศ - มาบุญครอง)","3"
"8","11","รถประจำทาง ขสมก. สาย 11 (มาบุญครอง - เขตประเวศ)","3"
"135","110","รถประจำทาง ขสมก. สาย 110 (พระราม 7 - เทเวศร์)","3"
"136","110","รถประจำทาง ขสมก. สาย 110 (เทเวศร์ - พระราม 7)","3"
"140","111","รถประจำทาง ขสมก. สาย 111 (เจริญนคร - ตลาดพลู (วนซ้าย))","3"
"141","111","รถประจำทาง ขสมก. สาย 111 (เจริญนคร - ตลาดพลู (วนขวา))","3"
"146","113","รถประจำทาง ขสมก. สาย 113 (มีนบุรี - หัวลำโพง)","3"
"149","113","รถประจำทาง ขสมก. สาย 113 (หัวลำโพง - มีนบุรี)","3"
"150","114","รถประจำทาง ขสมก. สาย 114 (อู่นครอินทร์ - แยกลำลูกกา)","3"
"155","114","รถประจำทาง ขสมก. สาย 114 (แยกลำลูกกา - อู่นครอินทร์)","3"
"157","115","รถประจำทาง ขสมก. สาย 115 (สวนสยาม - สาทร)","3"
"159","115","รถประจำทาง ขสมก. สาย 115 (สาทร - สวนสยาม)","3"
"1","116","รถประจำทาง ขสมก. สาย 116 (หนามแดง - สาทร)","3"
"170","116","รถประจำทาง ขสมก. สาย 116 (สาทร - หนามแดง)","3"
"181","117","รถประจำทาง ขสมก. สาย 117 (ท่าน้ำนนทบุรี - ศาลาว่าการกรุงเทพฯ 2)","3"
"184","117","รถประจำทาง ขสมก. สาย 117 (ศาลาว่าการกรุงเทพฯ 2 - ท่าน้ำนนทบุรี)","3"
"9","12","รถประจำทาง ขสมก. สาย 12 (ห้วยขวาง - ปากคลองตลาด)","3"
"10","12","รถประจำทาง ขสมก. สาย 12 (ปากคลองตลาด - ห้วยขวาง)","3"
"185","120","รถประจำทาง ขสมก. สาย 120 (มหาชัยเมืองใหม่ - คลองสาน)","3"
"187","120","รถประจำทาง ขสมก. สาย 120 (คลองสาน - มหาชัยเมืองใหม่)","3"
"188","120","รถประจำทาง ขสมก. สาย 120 (คลองสาน - มหาชัยเมืองใหม่)","3"
"190","122","รถประจำทาง ขสมก. สาย 122 (วัดเทพลีลา - เซ็นทรัลลาดพร้าว)","3"
"193","122","รถประจำทาง ขสมก. สาย 122 (เซ็นทรัลลาดพร้าว - วัดเทพลีลา)","3"
"189","123","รถประจำทาง ขสมก. สาย 123 (ฟาร์มจระเข้สามพราน - สนามหลวง)","3"
"195","123","รถประจำทาง ขสมก. สาย 123 (สนามหลวง - ฟาร์มจระเข้สามพราน)","3"
"196","124","รถประจำทาง ขสมก. สาย 124 (มหาวิทยาลัยมหามกุฏราชวิทยาลัย ศาลายา - สนามหลวง)","3"
"197","124","รถประจำทาง ขสมก. สาย 124 (สนามหลวง - มหาวิทยาลัยมหามกุฏราชวิทยาลัย ศาลายา)","3"
"198","125","รถประจำทาง ขสมก. สาย 125 (โรงเรียนรัตนโกสินทร์สมโภชบวรนิเวศศาลายา - อนุสาวรีย์ชัยฯ)","3"
"199","125","รถประจำทาง ขสมก. สาย 125 (อนุสาวรีย์ชัยฯ - โรงเรียนรัตนโกสินทร์สมโภชบวรนิเวศศาลายา)","3"
"200","126","รถประจำทาง ขสมก. สาย 126 (อู่บางเขน - มหาลัยรามคำแหง)","3"
"202","126","รถประจำทาง ขสมก. สาย 126 (มหาลัยรามคำแหง - อู่บางเขน)","3"
"203","127","รถประจำทาง ขสมก. สาย 127 (ตลาดบางบัวทอง - บางลำพู)","3"
"204","127","รถประจำทาง ขสมก. สาย 127 (บางลำพู - ตลาดบางบัวทอง)","3"
"205","129","รถประจำทาง ขสมก. สาย 129 (สำโรง - อู่บางเขน)","3"
"206","129","รถประจำทาง ขสมก. สาย 129 (อู่บางเขน - สำโรง)","3"
"11","13","รถประจำทาง ขสมก. สาย 13 (อู่คลองเตย - ห้วยขวาง)","3"
"12","13","รถประจำทาง ขสมก. สาย 13 (ห้วยขวาง - คลองเตย)","3"
"207","131","รถประจำทาง ขสมก. สาย 131 (ม.เอื้ออาทรสันติสุข - อู่มีนบุรี)","3"
"208","131","รถประจำทาง ขสมก. สาย 131 (อู่มีนบุรี - ม.เอื้ออาทรสันติสุข)","3"
"209","132","รถประจำทาง ขสมก. สาย 132 (เคหะบางพลี - พระโขนง)","3"
"210","132","รถประจำทาง ขสมก. สาย 132 (พระโขนง - เคหะบางพลี)","3"
"211","133","รถประจำทาง ขสมก. สาย 133 (เคหะบางพลี - วัดธาตุทอง)","3"
"212","133","รถประจำทาง ขสมก. สาย 133 (วัดธาตุทอง - เคหะบางพลี)","3"
"213","134","รถประจำทาง ขสมก. สาย 134 (ม.บัวทองแคหะ - หมอชิต2)","3"
"214","134","รถประจำทาง ขสมก. สาย 134 (หมอชิต2 - ม.บัวทองแคหะ)","3"
"215","136","รถประจำทาง ขสมก. สาย 136 (หมอชิต 2 - อู่คลองเตย)","3"
"216","136","รถประจำทาง ขสมก. สาย 136 (อู่คลองเตย - หมอชิต 2)","3"
"217","137","รถประจำทาง ขสมก. สาย 137 (รามคำแหง - รัชดาภิเษก (วนขวา))","3"
"218","137","รถประจำทาง ขสมก. สาย 137 (รามคำแหง - รัชดาภิเษก (วนซ้าย))","3"
"219","139","รถประจำทาง ขสมก. สาย 139 (อนุสาวรีย์ชัยฯ - ม.ราคำแหง 2)","3"
"220","139","รถประจำทาง ขสมก. สาย 139 (ม.ราคำแหง 2 - อนุสาวรีย์ชัยฯ)","3"
"13","14","รถประจำทาง ขสมก. สาย 14 (ศรีย่าน - โรงเรียนนนทรีวิทยา)","3"
"14","14","รถประจำทาง ขสมก. สาย 14 (โรงเรียนนนทรีวิทยา - ศรีย่าน)","3"
"221","140","รถประจำทาง ขสมก. สาย 140 (อู่แสมดำ - อนุสาวรีย์ชัยฯ)","3"
"222","140","รถประจำทาง ขสมก. สาย 140 (อนุสาวรีย์ชัยสมรภูมิ - อู่แสมดำ)","3"
"223","140","รถประจำทาง ขสมก. สาย 140 (มหาชัยเมืองใหม่ - อนุสาวรีย์ชัยสมรภูมฺิ)","3"
"224","140","รถประจำทาง ขสมก. สาย 140 (อนุสาวรีย์ชัยสมรภูมฺิ - มหาชัยเมืองใหม่)","3"
"225","141","รถประจำทาง ขสมก. สาย 141 (อู่แสมดำ - จุฬาลงกรณ์)","3"
"226","141","รถประจำทาง ขสมก. สาย 141 (จุฬาลงกรณ์ - อู่แสมดำ)","3"
"227","142","รถประจำทาง ขสมก. สาย 142 (อู่ฟาร์มจระเข้ - อู่แสมดำ)","3"
"228","142","รถประจำทาง ขสมก. สาย 142 (อู่แสมดำ - อู่ฟาร์มจระเข้)","3"
"229","143","รถประจำทาง ขสมก. สาย 143 (พระจอมเกล้าลาดกระบัง - แฮปปี้แลนด์)","3"
"230","143","รถประจำทาง ขสมก. สาย 143 (แฮปปี้แลนด์ - พระจอมเกล้าลาดกระบัง)","3"
"231","143","รถประจำทาง ขสมก. สาย 143 (ลาดกระบัง - แฮปปี้แลนด์ (เสริม))","3"
"232","143","รถประจำทาง ขสมก. สาย 143 (แฮปปี้แลนด์ - ลาดกระบัง (เสริม))","3"
"233","145","รถประจำทาง ขสมก. สาย 145 (อู่แพรกษา - หมอชิต 2)","3"
"234","145","รถประจำทาง ขสมก. สาย 145 (หมอชิต 2 - อู่แพรกษา)","3"
"235","146","รถประจำทาง ขสมก. สาย 146 (ตลิ่งชัน - ศิริราชบางแค)","3"
"236","146","รถประจำทาง ขสมก. สาย 146 (ตลิ่งชัน - ศิริราช - บางแค)","3"
"237","147","รถประจำทาง ขสมก. สาย 147 (เคหะธนบุรี  - ท่าพระ - บางแค (วนซ้าย))","3"
"238","147","รถประจำทาง ขสมก. สาย 147 (เคหะธนบุรี  - ท่าพระ - บางแค (วนขวา))","3"
"239","149","รถประจำทาง ขสมก. สาย 149 (พุทธมณฑลสาย 2 - เอกมัย)","3"
"240","149","รถประจำทาง ขสมก. สาย 149 (เอกมัย - พุทธมณฑลสาย 2)","3"
"15","15","รถประจำทาง ขสมก. สาย 15 (BRTราชพฤกษ์ - บางลำพู)","3"
"16","15","รถประจำทาง ขสมก. สาย 15 (บางลำพู - BRTราชพฤกษ์)","3"
"241","150","รถประจำทาง ขสมก. สาย 150 (ปากเกร็ด - แฮปปี้แลนด์)","3"
"242","150","รถประจำทาง ขสมก. สาย 150 (แฮปปี้แลนด์ - ปากเกร็ด)","3"
"243","151","รถประจำทาง ขสมก. สาย 151 (ลาดกระบัง - ลาดพร้าว 71)","3"
"244","151","รถประจำทาง ขสมก. สาย 151 (ลาดพร้าว 71 - ลาดกระบัง)","3"
"247","157","รถประจำทาง ขสมก. สาย 157 (อ้อมใหญ่ - หมอชิต 2)","3"
"248","157","รถประจำทาง ขสมก. สาย 157 (หมอชิต 2 - อ้อมใหญ่)","3"
"17","16","รถประจำทาง ขสมก. สาย 16 (อู่หมอชิต2 - สุรวงศ์)","3"
"18","16","รถประจำทาง ขสมก. สาย 16 (สุรวงศ์ - อู่หมอชิต2)","3"
"249","165","รถประจำทาง ขสมก. สาย 165 (พุทธมณฑล สาย 3 - บางกอกใหญ่)","3"
"250","165","รถประจำทาง ขสมก. สาย 165 (บางกอกใหญ่ - พุทธมณฑล สาย 3)","3"
"251","166","รถประจำทาง ขสมก. สาย 166 (ศุนย์ราชการ - อนุสาวรีย์ชัยสมรภูมิ)","3"
"252","166","รถประจำทาง ขสมก. สาย 166 (อนุสาวรีย์ชัยสมรภูมิ - ศุนย์ราชการ)","3"
"253","166","รถประจำทาง ขสมก. สาย 166 (เมืองทองธานี - อนุสาวรีย์ชัยสมรภูมิ)","3"
"254","166","รถประจำทาง ขสมก. สาย 166 (อนุสาวรีย์ชัยสมรภูมิ - เมืองทองธานี)","3"
"255","167","รถประจำทาง ขสมก. สาย 167 (บางบอน - คลองสาน)","3"
"256","167","รถประจำทาง ขสมก. สาย 167 (คลองสาน - บางบอน)","3"
"3","168","รถประจำทาง ขสมก. สาย 168 (อนุสาวรีย์ชัยฯ - สวนสยาม)","3"
"259","168","รถประจำทาง ขสมก. สาย 168 (สวนสยาม - อนุสาวรีย์ชัยสมรภูมิ)","3"
"257","168ก","รถประจำทาง ขสมก. สาย 168ก (ม.บัวขาว - สวนสยาม)","3"
"258","168ก","รถประจำทาง ขสมก. สาย 168ก (สวนสยาม - ม.บัวขาว)","3"
"261","169","รถประจำทาง ขสมก. สาย 169 (บางบุนเทียน - คลองสาน (วนซ้าย))","3"
"262","169","รถประจำทาง ขสมก. สาย 169 (บางขุนเทียน - คลองสาน (วนขวา))","3"
"20","17","รถประจำทาง ขสมก. สาย 17 (แจงร้อน - อนุสาวรีย์ชัยฯ)","3"
"21","17","รถประจำทาง ขสมก. สาย 17 (อนุสาวรีย์ชัยฯ - แจงร้อน)","3"
"263","170","รถประจำทาง ขสมก. สาย 170 (อ้อมใหญ่ - อู่หมอชิต)","3"
"264","170","รถประจำทาง ขสมก. สาย 170 (อู่หมอชิต 2 - อ้อมใหญ่)","3"
"265","171","รถประจำทาง ขสมก. สาย 171 (เคหะธนบุรี - หมู่บ้านนักกีฬา)","3"
