route_id,service_id,trip_id,trip_headsign
"4","fullweek","4","ถนนตก - ท่าเตียน"
"5","fullweek","5","ท่าเตียน - ถนนตก"
"77","fullweek","77","พุทธมณฑลสาย2 - วัดยายร่ม"
"82","fullweek","82","วัดยายร่ม - พุทธมณฑลสาย2"
"106","fullweek","106","ปากน้ำ - เซ็นทรัล พระราม3"
"108","fullweek","108","เซ็นทรัล พระราม3 - ปากน้ำ"
"112","fullweek","112","ปากเกร็ด - หมดชิต 2"
"114","fullweek","114","หมดชิต 2 - ปากเกร็ด"
"118","fullweek","118","มหาชัยเมืองใหม่ - คลองสาน"
"120","fullweek","120","คลองสาน - มหาชัยเมืองใหม่"
"122","fullweek","122","อู่บางเขน - อู่คลองเตย"
"124","fullweek","124","อู่คลองเตย - อู่บางเขน"
"125","fullweek","125","ท่าพระ - รัชโยธิน"
"128","fullweek","128","รัชโยธิน - ท่าพระ"
"130","fullweek","130","คลองทุ่ม - หัวลำโพง"
"132","fullweek","132","หัวลำโพง - คลองทุ่ม"
"7","fullweek","7","เขตประเวศ - มาบุญครอง"
"8","fullweek","8","มาบุญครอง - เขตประเวศ"
"135","fullweek","135","พระราม 7 - เทเวศร์"
"136","fullweek","136","เทเวศร์ - พระราม 7"
"140","fullweek","140","เจริญนคร - ตลาดพลู (วนซ้าย)"
"141","fullweek","141","เจริญนคร - ตลาดพลู (วนขวา)"
"146","fullweek","146","มีนบุรี - หัวลำโพง"
"149","fullweek","149","หัวลำโพง - มีนบุรี"
"150","fullweek","150","อู่นครอินทร์ - แยกลำลูกกา"
"155","fullweek","155","แยกลำลูกกา - อู่นครอินทร์"
"157","fullweek","157","สวนสยาม - สาทร"
"159","fullweek","159","สาทร - สวนสยาม"
"1","fullweek","1","หนามแดง - สาทร"
"170","fullweek","170","สาทร - หนามแดง"
"181","fullweek","181","ท่าน้ำนนทบุรี - ศาลาว่าการกรุงเทพฯ 2"
"184","fullweek","184","ศาลาว่าการกรุงเทพฯ 2 - ท่าน้ำนนทบุรี"
"9","fullweek","9","ห้วยขวาง - ปากคลองตลาด"
"10","fullweek","10","ปากคลองตลาด - ห้วยขวาง"
"185","fullweek","185","มหาชัยเมืองใหม่ - คลองสาน"
"187","fullweek","187","คลองสาน - มหาชัยเมืองใหม่"
"188","fullweek","188","คลองสาน - มหาชัยเมืองใหม่"
"190","fullweek","190","วัดเทพลีลา - เซ็นทรัลลาดพร้าว"
"193","fullweek","193","เซ็นทรัลลาดพร้าว - วัดเทพลีลา"
"189","fullweek","189","ฟาร์มจระเข้สามพราน - สนามหลวง"
"195","fullweek","195","สนามหลวง - ฟาร์มจระเข้สามพราน"
"196","fullweek","196","มหาวิทยาลัยมหามกุฏราชวิทยาลัย ศาลายา - สนามหลวง"
"197","fullweek","197","สนามหลวง - มหาวิทยาลัยมหามกุฏราชวิทยาลัย ศาลายา"
"198","fullweek","198","โรงเรียนรัตนโกสินทร์สมโภชบวรนิเวศศาลายา - อนุสาวรีย์ชัยฯ"
"199","fullweek","199","อนุสาวรีย์ชัยฯ - โรงเรียนรัตนโกสินทร์สมโภชบวรนิเวศศาลายา"
"200","fullweek","200","อู่บางเขน - มหาลัยรามคำแหง"
"202","fullweek","202","มหาลัยรามคำแหง - อู่บางเขน"
"203","fullweek","203","ตลาดบางบัวทอง - บางลำพู"
"204","fullweek","204","บางลำพู - ตลาดบางบัวทอง"
"205","fullweek","205","สำโรง - อู่บางเขน"
"206","fullweek","206","อู่บางเขน - สำโรง"
"11","fullweek","11","อู่คลองเตย - ห้วยขวาง"
"12","fullweek","12","ห้วยขวาง - คลองเตย"
"207","fullweek","207","ม.เอื้ออาทรสันติสุข - อู่มีนบุรี"
"208","fullweek","208","อู่มีนบุรี - ม.เอื้ออาทรสันติสุข"
"209","fullweek","209","เคหะบางพลี - พระโขนง"
"210","fullweek","210","พระโขนง - เคหะบางพลี"
"211","fullweek","211","เคหะบางพลี - วัดธาตุทอง"
"212","fullweek","212","วัดธาตุทอง - เคหะบางพลี"
"213","fullweek","213","ม.บัวทองแคหะ - หมอชิต2"
"214","fullweek","214","หมอชิต2 - ม.บัวทองแคหะ"
"215","fullweek","215","หมอชิต 2 - อู่คลองเตย"
"216","fullweek","216","อู่คลองเตย - หมอชิต 2"
"217","fullweek","217","รามคำแหง - รัชดาภิเษก (วนขวา)"
"218","fullweek","218","รามคำแหง - รัชดาภิเษก (วนซ้าย)"
"219","fullweek","219","อนุสาวรีย์ชัยฯ - ม.ราคำแหง 2"
"220","fullweek","220","ม.ราคำแหง 2 - อนุสาวรีย์ชัยฯ"
"13","fullweek","13","ศรีย่าน - โรงเรียนนนทรีวิทยา"
"14","fullweek","14","โรงเรียนนนทรีวิทยา - ศรีย่าน"
"221","fullweek","221","อู่แสมดำ - อนุสาวรีย์ชัยฯ"
"222","fullweek","222","อนุสาวรีย์ชัยสมรภูมิ - อู่แสมดำ"
"223","fullweek","223","มหาชัยเมืองใหม่ - อนุสาวรีย์ชัยสมรภูมฺิ"
"224","fullweek","224","อนุสาวรีย์ชัยสมรภูมฺิ - มหาชัยเมืองใหม่"
"225","fullweek","225","อู่แสมดำ - จุฬาลงกรณ์"
"226","fullweek","226","จุฬาลงกรณ์ - อู่แสมดำ"
"227","fullweek","227","อู่ฟาร์มจระเข้ - อู่แสมดำ"
"228","fullweek","228","อู่แสมดำ - อู่ฟาร์มจระเข้"
"229","fullweek","229","พระจอมเกล้าลาดกระบัง - แฮปปี้แลนด์"
"230","fullweek","230","แฮปปี้แลนด์ - พระจอมเกล้าลาดกระบัง"
"231","fullweek","231","ลาดกระบัง - แฮปปี้แลนด์ (เสริม)"
"232","fullweek","232","แฮปปี้แลนด์ - ลาดกระบัง (เสริม)"
"233","fullweek","233","อู่แพรกษา - หมอชิต 2"
"234","fullweek","234","หมอชิต 2 - อู่แพรกษา"
"235","fullweek","235","ตลิ่งชัน - ศิริราชบางแค"
"236","fullweek","236","ตลิ่งชัน - ศิริราช - บางแค"
"237","fullweek","237","เคหะธนบุรี  - ท่าพระ - บางแค (วนซ้าย)"
"238","fullweek","238","เคหะธนบุรี  - ท่าพระ - บางแค (วนขวา)"
"239","fullweek","239","พุทธมณฑลสาย 2 - เอกมัย"
"240","fullweek","240","เอกมัย - พุทธมณฑลสาย 2"
"15","fullweek","15","BRTราชพฤกษ์ - บางลำพู"
"16","fullweek","16","บางลำพู - BRTราชพฤกษ์"
"241","fullweek","241","ปากเกร็ด - แฮปปี้แลนด์"
"242","fullweek","242","แฮปปี้แลนด์ - ปากเกร็ด"
"243","fullweek","243","ลาดกระบัง - ลาดพร้าว 71"
"244","fullweek","244","ลาดพร้าว 71 - ลาดกระบัง"
"247","fullweek","247","อ้อมใหญ่ - หมอชิต 2"
"248","fullweek","248","หมอชิต 2 - อ้อมใหญ่"
