No,PO,district,Win name,ycoord,xcoord,on_footpath,num_driver
1,สขพ. 1,คลองสาน,ตรงข้ามโรงรับจำนำอิ๋วหลี ถนนเจริญรัถ,13.725416,100.49273,0,9
2,สขพ. 1,คลองสาน,หัวมุมถนนเจริญรัถ - ตากสิน,13.725251,100.495347,0,18
3,สขพ. 1,คลองสาน,ซอยเจริญรัถ 1 (ตลาดเจริญรัถ),13.725373,100.495379,0,21
4,สขพ. 1,คลองสาน,หน้าห้างโรบินสัน,13.726724,100.495073,0,11
5,สขพ. 1,คลองสาน,ซอยท่าดินแดง 7,13.731554,100.501941,0,3
6,สขพ. 1,คลองสาน,ซอยอิสรภาพ 5,13.730308,100.495898,0,13
7,สขพ. 1,คลองสาน,ซอยสมเด็จเจ้าพระยา 7,13.732921,100.5006,0,3
8,สขพ. 1,คลองสาน,หน้าสวนสมเด็จย่า,13.73375,100.498261,0,4
9,สขพ. 1,คลองสาน,หน้าโรงภาพยนต์ฮาวาย,13.726869,100.499485,0,10
10,สขพ. 1,คลองสาน,ซอยสมเด็จเจ้าพระยา 7,13.732921,100.5006,0,5
11,สขพ. 1,คลองสาน,ศาลเจ้ากวนอู,13.737462,100.500039,0,5
12,สขพ. 1,คลองสาน,ถนนลาดหญ้า (หน้าร้านเอวอน),13.727817,100.499677,1,5
13,สขพ. 1,คลองสาน,ปากซอยท่าดินแดง 14,13.733998,100.502858,0,16
14,สขพ. 1,คลองสาน,ปากซอยเจริญรัถ 11,13.726957,100.501803,0,5
15,สขพ. 1,คลองสาน,โรงเรียนผดุงกิจ ถนนเจริญรัถ,13.728451,100.508419,0,7
16,สขพ. 1,คลองสาน,ซอยลาดหญ้า 8,13.727823,100.499623,0,2
17,สขพ. 1,คลองสาน,ตรงข้ามโรงพยาบาลตากสิน,13.7305858,100.5073013,0,4
18,สขพ. 1,คลองสาน,ถนนเชียงใหม่ (วัดทองธรรมชาติ),13.7314778,100.5055363,0,9
19,สขพ. 1,คลองสาน,ซอยลาดหญ้า 13,13.728698,100.502814,0,2
20,สขพ. 1,คลองสาน,ซอยท่าดินแดง 1 ,13.7294497,100.5012364,0,5
21,สขพ. 1,คลองสาน,ท่าน้ำท่าดินแดง,13.7365972,100.5037339,0,34
22,สขพ. 1,คลองสาน,ถนนกรุงธนบุรี 1 ,13.721312,100.49521,1,28
23,สขพ. 1,คลองสาน,หน้าโรงแรมเพนนินซูล่า,13.725161,100.509391,1,10
24,สขพ. 1,คลองสาน,ซอยเจริญนคร 10 ,13.7246176,100.5090678,1,12
25,สขพ. 1,คลองสาน,ซอยราษฎร์ร่วมเจริญ ตัดถนนกรุงธนบุรี,13.722173,100.495495,0,6
26,สขพ. 1,คลองสาน,ซอยเจริญนคร 14 (หลังวัดทองเพลง),13.724126,100.501044,0,8
27,สขพ. 1,คลองสาน,ซอยเจริญนคร 14 (ซอยวนาวรรณ 2),13.722838,100.502305,0,10
28,สขพ. 1,คลองสาน,ซอยเจริญนคร 14 (ปากซอยกรุงธนบุรี),13.722183,100.50717,0,9
29,สขพ. 1,คลองสาน,ซอยเจริญนคร 14 (หน้าวัดทองเพลง),13.724068,100.500038,0,4
30,สขพ. 1,คลองสาน,ซอยเจริญนคร 14 (ถนนปูนเซเว่น),13.72222,100.50704,0,18
31,สขพ. 1,คลองสาน,ซอยเทียมบุญยัง,13.72388,100.497693,0,10
32,สขพ. 1,คลองสาน,ซอยเจริญรัถ 30,13.726421,100.499964,0,6
33,สขพ. 1,คลองสาน,ซอยเจริญรัถ 20,13.727478,100.504086,0,13
34,สขพ. 1,คลองสาน,ซอยเจริญรัถ 14,13.726193,100.499023,0,7
35,สขพ. 1,คลองสาน,ซอยเจริญรัถ 8,13.725201,100.494212,0,5
36,สขพ. 1,คลองสาน,ถนนกรุงธนบุรี หน้าอาคารสินสาทร,13.721263,100.499944,1,18
37,สขพ. 1,คลองสาน,กรุงธนบุรี 1 (สะพานลอย) ,13.721223,100.495605,0,4
38,สขพ. 1,คลองสาน,ท่าเรือท่าน้ำสาทร,13.720478,100.509791,0,14
39,สขพ. 1,คลองสาน,คลองสานพลาซ่า,13.730741,100.507014,0,21
40,สขพ. 1,คลองสาน,ซอยเจริญนคร 9,13.7239546,100.5091595,1,9
41,สขพ. 1,คลองสาน,ปากซอยเจริญนคร 46,13.709915,100.496557,0,14
42,สขพ. 1,คลองสาน,แยกถนนกรุงธนบุรี 6,13.72003,100.499394,0,2
43,สขพ. 1,คลองสาน,ศูนย์บริการสาธารณสุขที่ 28,13.720284,100.501872,1,11
44,สขพ. 1,คลองสาน,ปากซอยเจริญนคร 21  ,13.7167135,100.5072193,1,2
45,สขพ. 1,คลองสาน,ปากซอยเจริญนคร 28,13.713785,100.504076,1,53
46,สขพ. 1,คลองสาน,ปากซอยสำปาย้านอก,13.717755,100.494014,0,4
47,สขพ. 1,คลองสาน,หน้าวัดสุทธาราม (หลวงพ่อฉิม),13.712902,100.49391,0,21
48,สขพ. 1,คลองสาน,ปากซอยเจริญนคร 18 ,13.718065,100.507918,1,17
49,สขพ. 1,คลองสาน,หน้าตลาดวัดเศวตฉัตร,13.715805,100.505912,0,13
50,สขพ. 1,คลองสาน,ชุมชนสำปาย้าพัฒนา,13.716536,100.499253,0,30
51,สขพ. 1,คลองสาน,ปากซอยเจริญนคร 24,13.71002,100.49702,1,3
52,สขพ. 1,คลองสาน,หน้าตลาดเจริญนคร ,13.710946,100.498485,0,10
53,สขพ. 1,คลองสาน,แยกถนนกรุงธนบุรี 6,13.72003,100.499374,1,50
54,สขพ. 1,คลองสาน,หน้าร้านอาหารกรทอง,13.720631,100.49549,0,10
